city,measure,price,category
San Jose,Regular Cappuccino,5.95,Dining Out
San Jose,Milk (1 gallon),5.07,Grocery
San Jose,Eggs (12),5.17,Grocery
San Jose,Local Cheese (1 lb),6.9,Meat & Cheese
San Jose,Chicken Fillets (1 lb),6.12,Meat & Cheese
San Jose,Beef Round (1 lb),8.08,Meat & Cheese
San Jose,Mid-Range Wine,15,Alcohol & Cigarette
San Jose,Domestic Beer (0.5 L),1.95,Alcohol & Cigarette
San Jose,Imported Beer (12 oz),2.99,Alcohol & Cigarette
San Jose,Marlboro (20 Pack),11,Alcohol & Cigarette
San Jose,Monthly Transit Pass,90,Monthly Cost
San Jose,Gasoline (13.2 gallons),64.02,Monthly Cost
San Jose,Volkswagen Golf 1.4,30000,Own Property
San Jose,Toyota Corolla Sedan,26743.53,Own Property
San Jose,Internet (60 Mbps or More),81.84,Monthly Cost
San Jose,Monthly Gym Fee (1 Adult),99.83,Monthly Cost
San Jose,Levis 501 Jeans,51.98,Clothing
San Jose,Summer Dress in a Chain Store,42.64,Clothing
San Jose,Nike Running Shoes,83.19,Clothing
San Jose,Men Leather Business Shoes,118.75,Clothing
San Jose,1B Apt in City Centre,2923.95,Rent
San Jose,1B Apt Outside of Centre,2555.26,Rent
San Jose,3B Apt in City Centre,5200,Rent
San Jose,3B Apt in Outside of Centre,4142.22,Rent
San Jose,750 sq ft Apt in City Centre,1102845,Own Property
San Jose,750 sq ft Apt Outside of Centre,802027.5,Own Property
Phoenix,Inexpensive Restaurant Meal,19.99,Dining Out
Phoenix,Mid-range Restaurant Meal for 2,80,Dining Out
Phoenix,McMeal at McDonalds,11,Dining Out
Phoenix,Regular Cappuccino,5.3,Dining Out
Phoenix,Milk (1 gallon),3.43,Grocery
Phoenix,Eggs (12),3.62,Grocery
Phoenix,Local Cheese (1 lb),4.91,Meat & Cheese
Phoenix,Chicken Fillets (1 lb),4.47,Meat & Cheese
Phoenix,Beef Round (1 lb),6.43,Meat & Cheese
Phoenix,Mid-Range Wine,15,Alcohol & Cigarette
Phoenix,Domestic Beer (0.5 L),2.09,Alcohol & Cigarette
Phoenix,Imported Beer (12 oz),4.51,Alcohol & Cigarette
Phoenix,Marlboro (20 Pack),9,Alcohol & Cigarette
Phoenix,Monthly Transit Pass,55,Monthly Cost
Phoenix,Gasoline (13.2 gallons),53.46,Monthly Cost
Phoenix,Volkswagen Golf 1.4,30000,Own Property
Phoenix,Toyota Corolla Sedan,27595.23,Own Property
Phoenix,Internet (60 Mbps or More),68.91,Monthly Cost
Phoenix,Monthly Gym Fee (1 Adult),26.62,Monthly Cost
Phoenix,Levis 501 Jeans,46.67,Clothing
Phoenix,Summer Dress in a Chain Store,39.44,Clothing
Phoenix,Nike Running Shoes,86.32,Clothing
Phoenix,Men Leather Business Shoes,109.63,Clothing
Phoenix,1B Apt in City Centre,1569.22,Rent
Phoenix,1B Apt Outside of Centre,1391.93,Rent
Phoenix,3B Apt in City Centre,2677.23,Rent
Phoenix,3B Apt in Outside of Centre,2335.29,Rent
Phoenix,750 sq ft Apt in City Centre,239610,Own Property
Phoenix,750 sq ft Apt Outside of Centre,201382.5,Own Property
Detroit,Inexpensive Restaurant Meal,15.5,Dining Out
Detroit,Mid-range Restaurant Meal for 2,70,Dining Out
Detroit,McMeal at McDonalds,9.93,Dining Out
Detroit,Regular Cappuccino,4.75,Dining Out
Detroit,Milk (1 gallon),3.48,Grocery
Detroit,Eggs (12),3.18,Grocery
Detroit,Local Cheese (1 lb),6.14,Meat & Cheese
Detroit,Chicken Fillets (1 lb),6.14,Meat & Cheese
Detroit,Beef Round (1 lb),10.5,Meat & Cheese
Detroit,Mid-Range Wine,10,Alcohol & Cigarette
Detroit,Domestic Beer (0.5 L),1.86,Alcohol & Cigarette
Detroit,Imported Beer (12 oz),2.5,Alcohol & Cigarette
Detroit,Marlboro (20 Pack),9,Alcohol & Cigarette
Detroit,Monthly Transit Pass,66,Monthly Cost
Detroit,Gasoline (13.2 gallons),45.54,Monthly Cost
Detroit,Volkswagen Golf 1.4,35699.74,Own Property
Detroit,Toyota Corolla Sedan,24119.94,Own Property
Detroit,Internet (60 Mbps or More),59,Monthly Cost
Detroit,Monthly Gym Fee (1 Adult),55,Monthly Cost
Detroit,Levis 501 Jeans,47.5,Clothing
Detroit,Summer Dress in a Chain Store,38.75,Clothing
Detroit,Nike Running Shoes,77.5,Clothing
Detroit,Men Leather Business Shoes,95,Clothing
Detroit,1B Apt in City Centre,1414.29,Rent
Detroit,1B Apt Outside of Centre,1026.33,Rent
Detroit,3B Apt in City Centre,3333.33,Rent
Detroit,3B Apt in Outside of Centre,1658.33,Rent
Detroit,750 sq ft Apt in City Centre,74377.5,Own Property
Detroit,750 sq ft Apt Outside of Centre,68122.5,Own Property
San Diego,Inexpensive Restaurant Meal,21.5,Dining Out
San Diego,Mid-range Restaurant Meal for 2,80,Dining Out
San Diego,McMeal at McDonalds,12,Dining Out
San Diego,Regular Cappuccino,5.51,Dining Out
San Diego,Milk (1 gallon),4.54,Grocery
San Diego,Eggs (12),4.19,Grocery
San Diego,Local Cheese (1 lb),6.33,Meat & Cheese
San Diego,Chicken Fillets (1 lb),6.63,Meat & Cheese
San Diego,Beef Round (1 lb),8.64,Meat & Cheese
San Diego,Mid-Range Wine,15,Alcohol & Cigarette
San Diego,Domestic Beer (0.5 L),1.99,Alcohol & Cigarette
San Diego,Imported Beer (12 oz),3,Alcohol & Cigarette
San Diego,Marlboro (20 Pack),10.53,Alcohol & Cigarette
San Diego,Monthly Transit Pass,72,Monthly Cost
San Diego,Gasoline (13.2 gallons),67.85,Monthly Cost
San Diego,Volkswagen Golf 1.4,30000,Own Property
San Diego,Toyota Corolla Sedan,26461.48,Own Property
San Diego,Internet (60 Mbps or More),73.26,Monthly Cost
San Diego,Monthly Gym Fee (1 Adult),89.62,Monthly Cost
San Diego,Levis 501 Jeans,55.93,Clothing
San Diego,Summer Dress in a Chain Store,54.11,Clothing
San Diego,Nike Running Shoes,88.05,Clothing
San Diego,Men Leather Business Shoes,119.17,Clothing
San Diego,1B Apt in City Centre,2790.52,Rent
San Diego,1B Apt Outside of Centre,2391.41,Rent
San Diego,3B Apt in City Centre,4876.47,Rent
San Diego,3B Apt in Outside of Centre,4200,Rent
San Diego,750 sq ft Apt in City Centre,576772.5,Own Property
San Diego,750 sq ft Apt Outside of Centre,453187.5,Own Property
Denver,Inexpensive Restaurant Meal,20,Dining Out
Denver,Mid-range Restaurant Meal for 2,80,Dining Out
Denver,McMeal at McDonalds,11.25,Dining Out
Denver,Regular Cappuccino,5.72,Dining Out
Denver,Milk (1 gallon),4.18,Grocery
Denver,Eggs (12),4.27,Grocery
Denver,Local Cheese (1 lb),6.02,Meat & Cheese
Denver,Chicken Fillets (1 lb),6.12,Meat & Cheese
Denver,Beef Round (1 lb),7.86,Meat & Cheese
Denver,Mid-Range Wine,16,Alcohol & Cigarette
Denver,Domestic Beer (0.5 L),2.06,Alcohol & Cigarette
Denver,Imported Beer (12 oz),3.88,Alcohol & Cigarette
Denver,Marlboro (20 Pack),10,Alcohol & Cigarette
Denver,Monthly Transit Pass,100,Monthly Cost
Denver,Gasoline (13.2 gallons),45.01,Monthly Cost
Denver,Volkswagen Golf 1.4,36029.12,Own Property
Denver,Toyota Corolla Sedan,27734.72,Own Property
Denver,Internet (60 Mbps or More),72.42,Monthly Cost
Denver,Monthly Gym Fee (1 Adult),67,Monthly Cost
Denver,Levis 501 Jeans,52.86,Clothing
Denver,Summer Dress in a Chain Store,47.78,Clothing
Denver,Nike Running Shoes,86.46,Clothing
Denver,Men Leather Business Shoes,106.47,Clothing
Denver,1B Apt in City Centre,2127.73,Rent
Denver,1B Apt Outside of Centre,1708.1,Rent
Denver,3B Apt in City Centre,3629.92,Rent
Denver,3B Apt in Outside of Centre,3013.4,Rent
Denver,750 sq ft Apt in City Centre,315802.5,Own Property
Denver,750 sq ft Apt Outside of Centre,273555,Own Property
